20230926
Seconds MEASURES_glf(%) MNH_GLF(%) PERSISTENCE(%) Date_of_forecast Date_of_computing
43200 22.02759 58.01091 30.55714 "2023-09-27 06:00:00" "2023-09-27 05:50:00"
43200 22.02759 58.01091 19.20000 "2023-09-27 06:00:00" "2023-09-27 06:00:00"
43200 22.02759 58.01091 13.77143 "2023-09-27 06:00:00" "2023-09-27 05:10:00"
43200 22.02759 58.01091 14.57143 "2023-09-27 06:00:00" "2023-09-27 05:20:00"
43200 22.02759 58.01091 14.17143 "2023-09-27 06:00:00" "2023-09-27 05:30:00"
43200 22.02759 58.01091 31.56250 "2023-09-27 06:00:00" "2023-09-27 05:40:00"
43200 22.02759 58.01091 30.55714 "2023-09-27 06:00:00" "2023-09-27 05:50:00"
43200 22.02759 58.01091 19.20000 "2023-09-27 06:00:00" "2023-09-27 06:00:00"
43200 22.02759 58.01091 13.77143 "2023-09-27 06:00:00" "2023-09-27 05:10:00"
43200 22.02759 58.01091 14.57143 "2023-09-27 06:00:00" "2023-09-27 05:20:00"
43200 22.02759 58.01091 14.17143 "2023-09-27 06:00:00" "2023-09-27 05:30:00"
43200 22.02759 58.01091 31.56250 "2023-09-27 06:00:00" "2023-09-27 05:40:00"
43200 22.02759 58.01091 30.55714 "2023-09-27 06:00:00" "2023-09-27 05:50:00"
43200 22.02759 58.01091 19.20000 "2023-09-27 06:00:00" "2023-09-27 06:00:00"
43200 22.02759 58.01091 13.77143 "2023-09-27 06:00:00" "2023-09-27 05:10:00"
43200 22.02759 58.01091 14.57143 "2023-09-27 06:00:00" "2023-09-27 05:20:00"
43200 22.02759 58.01091 14.17143 "2023-09-27 06:00:00" "2023-09-27 05:30:00"
43200 22.02759 58.01091 31.56250 "2023-09-27 06:00:00" "2023-09-27 05:40:00"
43200 22.02759 58.01091 30.55714 "2023-09-27 06:00:00" "2023-09-27 05:50:00"
43200 22.02759 58.01091 19.20000 "2023-09-27 06:00:00" "2023-09-27 06:00:00"
43800 26.54466 60.54843 14.57143 "2023-09-27 06:10:00" "2023-09-27 05:20:00"
43800 26.54466 60.54843 14.17143 "2023-09-27 06:10:00" "2023-09-27 05:30:00"
43800 26.54466 60.54843 31.56250 "2023-09-27 06:10:00" "2023-09-27 05:40:00"
43800 26.54466 60.54843 30.55714 "2023-09-27 06:10:00" "2023-09-27 05:50:00"
43800 26.54466 60.54843 19.20000 "2023-09-27 06:10:00" "2023-09-27 06:00:00"
43800 26.54466 60.54843 42.22500 "2023-09-27 06:10:00" "2023-09-27 06:10:00"
43800 26.54466 60.54843 14.57143 "2023-09-27 06:10:00" "2023-09-27 05:20:00"
43800 26.54466 60.54843 14.17143 "2023-09-27 06:10:00" "2023-09-27 05:30:00"
43800 26.54466 60.54843 31.56250 "2023-09-27 06:10:00" "2023-09-27 05:40:00"
43800 26.54466 60.54843 30.55714 "2023-09-27 06:10:00" "2023-09-27 05:50:00"
43800 26.54466 60.54843 19.20000 "2023-09-27 06:10:00" "2023-09-27 06:00:00"
43800 26.54466 60.54843 42.22500 "2023-09-27 06:10:00" "2023-09-27 06:10:00"
43800 26.54466 60.54843 14.57143 "2023-09-27 06:10:00" "2023-09-27 05:20:00"
43800 26.54466 60.54843 14.17143 "2023-09-27 06:10:00" "2023-09-27 05:30:00"
43800 26.54466 60.54843 31.56250 "2023-09-27 06:10:00" "2023-09-27 05:40:00"
43800 26.54466 60.54843 30.55714 "2023-09-27 06:10:00" "2023-09-27 05:50:00"
43800 26.54466 60.54843 19.20000 "2023-09-27 06:10:00" "2023-09-27 06:00:00"
43800 26.54466 60.54843 42.22500 "2023-09-27 06:10:00" "2023-09-27 06:10:00"
43800 26.54466 60.54843 14.57143 "2023-09-27 06:10:00" "2023-09-27 05:20:00"
43800 26.54466 60.54843 14.17143 "2023-09-27 06:10:00" "2023-09-27 05:30:00"
43800 26.54466 60.54843 31.56250 "2023-09-27 06:10:00" "2023-09-27 05:40:00"
43800 26.54466 60.54843 30.55714 "2023-09-27 06:10:00" "2023-09-27 05:50:00"
43800 26.54466 60.54843 19.20000 "2023-09-27 06:10:00" "2023-09-27 06:00:00"
43800 26.54466 60.54843 42.22500 "2023-09-27 06:10:00" "2023-09-27 06:10:00"
43800 26.54466 60.54843 14.57143 "2023-09-27 06:10:00" "2023-09-27 05:20:00"
43800 26.54466 60.54843 14.17143 "2023-09-27 06:10:00" "2023-09-27 05:30:00"
43800 26.54466 60.54843 31.56250 "2023-09-27 06:10:00" "2023-09-27 05:40:00"
43800 26.54466 60.54843 30.55714 "2023-09-27 06:10:00" "2023-09-27 05:50:00"
43800 26.54466 60.54843 19.20000 "2023-09-27 06:10:00" "2023-09-27 06:00:00"
43800 26.54466 60.54843 42.22500 "2023-09-27 06:10:00" "2023-09-27 06:10:00"
43800 26.54466 60.54843 14.57143 "2023-09-27 06:10:00" "2023-09-27 05:20:00"
43800 26.54466 60.54843 14.17143 "2023-09-27 06:10:00" "2023-09-27 05:30:00"
